donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH14-bin.1	CH14-bin.4	M_mal__L_e	0.000898666700544239	0.00680440050263902	0.7	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_asp__D_e	0.0008658797075432607	0.006555001968615354	0.8	CD_X	SC1_X
environment	CH14-bin.0	M_cys__L_e	0.0008429575448076763	0.006957512013724869	1.0	CD_X	SC1_X
CH14-bin.1	CH14-bin.2	M_co2_e	0.0008239390203502203	0.01872184460969155	0.8	CD_X	SC1_X
CH9-bin.5	environment	M_ppap_e	0.0008197924275405241	0.005391867186656642	1.0	CM_X	SC1_X
CH14-bin.1	environment	M_h2s_e	0.0008187528121208282	0.024023873034694852	0.7	CD_X	SC1_X
CH14-bin.0	environment	M_but_e	0.0008100364245574156	0.00930040477396343	0.4	CD_X	SC1_X
CH14-bin.1	environment	M_h2_e	0.0007843191889740019	0.3890858165363637	0.9	CD_X	SC1_X
CH9-bin.1	environment	M_btd_RR_e	0.0007815737092592349	0.008672531133383878	0.2	CM_X	SC1_X
CH3-bin.2	environment	M_thm_e	0.0007807676166051217	0.0029423634497368293	1.0	M_X	SC1_X
environment	CH3-bin.2	M_cys__L_e	0.0007457233683372856	0.006154971061212563	1.0	M_X	SC1_X
CH9-bin.6	CH9-bin.5	M_acald_e	0.0007393967146368914	0.01678448199500802	0.9	CM_X	SC1_X
CH14-bin.4	environment	M_for_e	0.0006605200855637769	0.014672550737354378	0.8	CD_X	SC1_X
CH14-bin.1	environment	M_thm_e	0.0006376042662834959	0.002402844903668255	1.0	CD_X	SC1_X
CH9-bin.4	environment	M_co2_e	0.0006195195282178933	0.014076949936215891	1.0	CM_X	SC1_X
CH9-bin.2	CH9-bin.5	M_glyc_e	0.0005939216434866761	0.006449115773498414	0.1	CM_X	SC1_X
CH9-bin.5	CH9-bin.0	M_lys__L_e	0.0005555489887524954	0.0037742407430725886	0.1	CM_X	SC1_X
CH14-bin.0	CH14-bin.1	M_g3pg_e	0.0005476438058682788	0.002233969636875494	0.8	CD_X	SC1_X
CH14-bin.4	environment	M_co2_e	0.0005316698803675166	0.012080798017871519	1.0	CD_X	SC1_X
CH9-bin.4	environment	M_btd_RR_e	0.0004896659487706199	0.005433451938520382	0.1	CM_X	SC1_X
CH9-bin.0	CH9-bin.1	M_rib__D_e	0.0004855706782667126	0.0032343455367979815	0.5	CM_X	SC1_X
CH9-bin.0	environment	M_15dap_e	0.00048552612876231945	0.004659859403266038	0.6	CM_X	SC1_X
CH3-bin.0	environment	M_ac_e	0.0004650546230038308	0.007876421154494042	1.0	M_X	SC1_X
CH9-bin.1	environment	M_co2_e	0.0004576908091180922	0.01039981842825054	0.2	CM_X	SC1_X
CH9-bin.1	environment	M_h2s_e	0.0004543383141176061	0.013331210362362567	1.0	CM_X	SC1_X
CH14-bin.0	CH14-bin.2	M_g3pg_e	0.00044834432868439756	0.001828903397452424	0.2	CD_X	SC1_X
environment	CH14-bin.1	M_cys__L_e	0.0004367080257130947	0.003604453574328168	0.8	CD_X	SC1_X
CH3-bin.0	CH3-bin.2	M_glyc_e	0.00043251799291134943	0.0046965094486728105	0.9	M_X	SC1_X
CH9-bin.2	CH9-bin.4	M_acald_e	0.0004272710761642507	0.009699155464043974	0.5	CM_X	SC1_X
CH3-bin.2	CH3-bin.0	M_glyald_e	0.00042370358857577654	0.004703756740855689	0.9	M_X	SC1_X
CH9-bin.5	environment	M_2mpa_e	0.0004021480549974397	0.004617248776907555	0.4	CM_X	SC1_X
CH3-bin.2	CH3-bin.0	M_acald_e	0.00039168564825891065	0.008891357752560829	0.2	M_X	SC1_X
