	medium	description	compound	name	bound
122	SC2_X	SynCon2 on Xylan	cobalt2	Co2+	1000.0
123	SC2_X	SynCon2 on Xylan	thm	Thiamin	1000.0
124	SC2_X	SynCon2 on Xylan	xylb	Xylobiose	0.72
125	SC2_X	SynCon2 on Xylan	xyl3	Xylotriose	0.48
126	SC2_X	SynCon2 on Xylan	xylan4	Xylan (4 backbone units, 1 glcur side chain)	0.27692307692307694
127	SC2_X	SynCon2 on Xylan	xylan8	Xylan (8 backbone units, 2 glcur side chain)	0.13846153846153847
128	SC1_C	SynCon1 on Cellulose	glc__D	Glucose	1.0
129	SC2_C	SynCon2 on Cellulose	glc__D	Glucose	1.0
130	SC1_X	SynCon1 on Xylan	xyl__D	Glucose	1.2
131	SC2_X	SynCon2 on Xylan	xyl__D	Glucose	1.2
