donor	receiver	compound	mass_rate	rate	frequency	community	medium
environment	CH3-bin.0	M_cys__L_e	1.1023688182294225e-06	9.09861278735784e-06	1.0	M_X	SC1_X
CH14-bin.1	CH14-bin.4	M_h2s_e	9.735807878761768e-07	2.856684079822589e-05	0.53	CD_X	SC1_X
environment	CH3-bin.2	M_ribflv_e	8.102818985260089e-07	2.1414563510967683e-06	1.0	M_X	SC1_X
environment	CH14-bin.1	M_pnto__R_e	7.757888145170337e-07	3.5549723338561866e-06	1.0	CD_X	SC1_X
environment	CH14-bin.2	M_fol_e	6.244703351951613e-07	1.4212505258994222e-06	1.0	CD_X	SC1_X
environment	CH14-bin.2	M_nac_e	5.909061747512733e-07	4.839474884798715e-06	1.0	CD_X	SC1_X
environment	CH3-bin.2	M_thm_e	2.8412189722165135e-07	1.0707281755483958e-06	1.0	M_X	SC1_X
environment	CH14-bin.2	M_pnto__R_e	2.670387536346021e-07	1.22367758270586e-06	1.0	CD_X	SC1_X
CH14-bin.2	CH14-bin.4	M_h2s_e	3.392385780107469e-08	9.953949966278575e-07	0.04	CD_X	SC1_X
CH14-bin.4	CH14-bin.2	M_h2s_e	1.5071007769016884e-08	4.4221402575693313e-07	0.31	CD_X	SC1_X
