donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH1-bin.6	environment	M_glyc_e	0.0018749923966456074	0.020359660525939478	0.02	M_P	SC2_C
environment	CH8-bin.25	M_cell4_e	0.0018540103681482652	0.0027813938217821597	0.06	CM_A	SC2_C
CH7-bin.23	CH7-bin.11	M_acald_e	0.0018483990882206672	0.041959100712348645	0.03	CM_P	SC2_C
CH8-bin.5	CH8-bin.6	M_gal_e	0.0018082898057225905	0.010037388863850824	0.02	CM_A	SC2_C
CH8-bin.7	CH8-bin.17	M_glc__D_e	0.001763933057833799	0.009791175051282389	0.02	CM_A	SC2_C
CH1-bin.6	environment	M_lac__L_e	0.0017634936466916324	0.01979900759507299	0.21	M_P	SC2_C
CH8-bin.17	CH8-bin.6	M_glc__D_e	0.0017119453604127158	0.009502603643369646	0.03	CM_A	SC2_C
CH7-bin.23	CH7-bin.17	M_ocdcea_e	0.001700632412369226	0.0060423511225150784	0.53	CM_P	SC2_C
CH8-bin.7	CH8-bin.2	M_glc__D_e	0.0016586774581651396	0.009206926121365998	0.04	CM_A	SC2_C
CH8-bin.17	CH8-bin.25	M_glc__D_e	0.001645472961072405	0.009133631082234587	0.15	CM_A	SC2_C
CH1-bin.3	environment	M_ac_e	0.0016371663124384803	0.02772795009202442	0.99	M_P	SC2_C
environment	CH1-bin.4	M_cell4_e	0.0016167253409814922	0.002425417868302327	0.97	M_P	SC2_C
CH7-bin.11	CH7-bin.8	M_glc__D_e	0.0015605713821431352	0.008662362505609797	0.25	CM_P	SC2_C
CH8-bin.17	environment	M_ppa_e	0.0015430990770430447	0.021117977690597613	1.0	CM_A	SC2_C
CH7-bin.23	CH7-bin.16	M_acald_e	0.0015234999798238215	0.03458381336371734	0.51	CM_P	SC2_C
CH7-bin.2	CH7-bin.8	M_glc__D_e	0.0015173670919198697	0.008422545712867168	0.08	CM_P	SC2_C
CH7-bin.4	CH7-bin.23	M_cell4_e	0.0014980937851058083	0.002247446330359641	0.36	CM_P	SC2_C
CH8-bin.5	CH8-bin.2	M_gal_e	0.001482009249737991	0.008226282696705126	0.02	CM_A	SC2_C
CH1-bin.9	CH1-bin.6	M_actn__R_e	0.0014737262840534221	0.016726969291723293	0.91	M_P	SC2_C
environment	CH8-bin.6	M_cell4_e	0.00146776822542609	0.002201951803584423	0.36	CM_A	SC2_C
environment	CH7-bin.2	M_cell4_e	0.0014131000630802754	0.002119938406243662	0.01	CM_P	SC2_C
CH8-bin.2	CH8-bin.25	M_glc__D_e	0.0013741004478605465	0.0076273064690847246	0.07	CM_A	SC2_C
CH7-bin.11	CH7-bin.17	M_glc__D_e	0.0013623459804506517	0.007562060201640646	0.14	CM_P	SC2_C
CH8-bin.25	CH8-bin.9	M_lcts_e	0.00136014644394877	0.003973601892483485	1.0	CM_A	SC2_C
CH7-bin.2	CH7-bin.17	M_glc__D_e	0.0013478355190999246	0.007481516063908851	0.03	CM_P	SC2_C
CH1-bin.4	CH1-bin.9	M_glyc_e	0.0013437938622859128	0.014591625492417081	0.19	M_P	SC2_C
CH8-bin.17	CH8-bin.5	M_glc__D_e	0.0013154781676135599	0.00730190806167098	0.04	CM_A	SC2_C
CH1-bin.6	CH1-bin.4	M_acald_e	0.001283665620334765	0.029139516129308846	0.19	M_P	SC2_C
CH7-bin.2	CH7-bin.17	M_ocdcea_e	0.0012832418317680861	0.0045593613683041845	0.03	CM_P	SC2_C
CH7-bin.8	CH7-bin.17	M_glc__D_e	0.001281261124233206	0.007111977349739204	0.06	CM_P	SC2_C
CH8-bin.7	CH8-bin.25	M_glc__D_e	0.0012779591246673307	0.007093648731413717	0.05	CM_A	SC2_C
CH7-bin.11	CH7-bin.18	M_acald_e	0.0012185726147619432	0.027661889358172154	0.73	CM_P	SC2_C
CH1-bin.9	CH1-bin.4	M_acald_e	0.0012092787490672705	0.027450916387467435	0.03	M_P	SC2_C
CH1-bin.4	environment	M_ac_e	0.0012077866838257367	0.020455740285207046	0.99	M_P	SC2_C
CH1-bin.6	CH1-bin.9	M_lac__L_e	0.0012048148601445526	0.013526637088491866	0.2	M_P	SC2_C
CH7-bin.20	CH7-bin.8	M_glc__D_e	0.0011911058905047579	0.006611546978357339	0.03	CM_P	SC2_C
CH7-bin.11	environment	M_ac_e	0.0011705340777272435	0.01982480963701997	0.92	CM_P	SC2_C
CH7-bin.16	CH7-bin.23	M_lac__L_e	0.0011487860799088267	0.012897593571657583	0.38	CM_P	SC2_C
CH8-bin.17	environment	M_12ppd__R_e	0.0011341712267982354	0.01490485105676045	0.04	CM_A	SC2_C
CH8-bin.6	CH8-bin.25	M_glc__D_e	0.001131612869584295	0.006281315295485425	0.02	CM_A	SC2_C
CH8-bin.25	environment	M_co2_e	0.0011218952847513184	0.025492116128365876	0.64	CM_A	SC2_C
CH1-bin.9	CH1-bin.6	M_acald_e	0.0011158713437473917	0.025330545980409507	0.01	M_P	SC2_C
CH8-bin.2	CH8-bin.6	M_glc__D_e	0.0010772695390669238	0.005979668325606248	0.03	CM_A	SC2_C
CH1-bin.6	CH1-bin.9	M_glyc_e	0.0010670381684473012	0.011586465586032685	0.02	M_P	SC2_C
CH8-bin.22	CH8-bin.2	M_acald_e	0.0010657460814785075	0.024192690556666785	0.52	CM_A	SC2_C
environment	CH7-bin.20	M_cellb_e	0.0010613144531344376	0.003100578719488178	0.56	CM_P	SC2_C
CH8-bin.2	environment	M_co2_e	0.001028870738139902	0.02337837826241838	0.66	CM_A	SC2_C
CH8-bin.17	CH8-bin.2	M_glc__D_e	0.0010166561671846228	0.00564321783962414	0.1	CM_A	SC2_C
CH8-bin.6	CH8-bin.2	M_glc__D_e	0.0010096694331079889	0.005604436131850552	0.02	CM_A	SC2_C
CH8-bin.6	environment	M_co2_e	0.0010026150112410629	0.022781786006227357	1.0	CM_A	SC2_C
CH8-bin.22	environment	M_meoh_e	0.0009907409397469198	0.030920361271309565	1.0	CM_A	SC2_C
CH7-bin.13	environment	M_h2s_e	0.0009859183252586203	0.02892884924234819	1.0	CM_P	SC2_C
CH1-bin.8	environment	M_ac_e	0.0009833680133394932	0.016654862116823134	1.0	M_P	SC2_C
CH8-bin.6	environment	M_isobuta_e	0.0009817278180639934	0.011142727956524429	0.85	CM_A	SC2_C
CH8-bin.5	CH8-bin.17	M_gal_e	0.0009815295110335283	0.0054482380824195575	0.01	CM_A	SC2_C
CH7-bin.1	CH7-bin.17	M_glc__D_e	0.0009778015733159183	0.005427545182192254	0.05	CM_P	SC2_C
CH1-bin.6	CH1-bin.1	M_diact_e	0.0009775658150127822	0.011355292952790511	0.84	M_P	SC2_C
CH1-bin.6	CH1-bin.8	M_glyald_e	0.0009686722834300526	0.01075374130811569	0.43	M_P	SC2_C
CH1-bin.1	environment	M_ac_e	0.0009626622803824372	0.016304178422875813	1.0	M_P	SC2_C
CH1-bin.8	CH1-bin.6	M_glyc_e	0.0009602808657822096	0.010427238250063356	0.39	M_P	SC2_C
CH7-bin.20	CH7-bin.12	M_glc__D_e	0.0009521733009893806	0.005285288706246833	0.01	CM_P	SC2_C
