donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH7-bin.1	CH7-bin.18	M_glc__D_e	0.0012477331174697455	0.00692587131703932	0.07	CM_P	SC2_C
CH8-bin.17	environment	M_12ppd__R_e	0.0012455478673506527	0.016368520914902113	0.13	CM_A	SC2_C
CH7-bin.16	environment	M_lac__L_e	0.001238473239382638	0.013904524759038844	0.53	CM_P	SC2_C
CH8-bin.22	CH8-bin.9	M_g3pg_e	0.0012264263557651555	0.005002885472792522	0.07	CM_A	SC2_C
CH8-bin.17	environment	M_2mpa_e	0.0012057743240338704	0.01384405557527157	0.3	CM_A	SC2_C
CH8-bin.5	CH8-bin.25	M_gal_e	0.0011977159524565585	0.006648237868287926	0.06	CM_A	SC2_C
CH1-bin.6	environment	M_but_e	0.0011836582800303715	0.013590130992381717	0.25	M_P	SC2_C
CH7-bin.1	CH7-bin.18	M_gal_e	0.0011541662502802554	0.006406503775519664	0.48	CM_P	SC2_C
CH7-bin.23	CH7-bin.8	M_acald_e	0.0011530118390395009	0.026173644092932536	0.86	CM_P	SC2_C
CH7-bin.8	CH7-bin.18	M_glc__D_e	0.0011177331003482658	0.006204271980458348	0.08	CM_P	SC2_C
CH1-bin.6	CH1-bin.3	M_acald_e	0.0011165026047954463	0.025344875756949607	0.29	M_P	SC2_C
CH8-bin.6	CH8-bin.17	M_acald_e	0.0011061194444795237	0.025109175538211848	0.91	CM_A	SC2_C
CH7-bin.13	environment	M_co2_e	0.0011027299982444253	0.025056635459262774	0.98	CM_P	SC2_C
CH7-bin.18	environment	M_ac_e	0.001100718440663197	0.018642373567179623	1.0	CM_P	SC2_C
environment	CH8-bin.9	M_cell4_e	0.0010958899423828316	0.0016440585055309995	1.0	CM_A	SC2_C
CH8-bin.25	environment	M_ac_e	0.0010866728045539678	0.01840448894049966	1.0	CM_A	SC2_C
CH7-bin.8	CH7-bin.1	M_glc__D_e	0.0010381748958582526	0.005762663211084724	0.12	CM_P	SC2_C
CH8-bin.5	CH8-bin.17	M_glc__D_e	0.0010264967588299173	0.005697840635528646	0.01	CM_A	SC2_C
CH7-bin.11	CH7-bin.23	M_ac_e	0.001020738787865514	0.017287794130562414	0.01	CM_P	SC2_C
CH7-bin.11	CH7-bin.1	M_glc__D_e	0.0010194398130028716	0.005658669198940866	0.29	CM_P	SC2_C
CH8-bin.25	CH8-bin.8	M_lac__L_e	0.0010185671607437531	0.011435606240765703	0.56	CM_A	SC2_C
CH8-bin.5	CH8-bin.8	M_gal_e	0.0010167977294744317	0.005644003618400735	0.16	CM_A	SC2_C
environment	CH8-bin.8	M_cell4_e	0.0010150920542725777	0.0015228451883544827	0.95	CM_A	SC2_C
CH8-bin.22	CH8-bin.2	M_g3pg_e	0.0009996788147919418	0.004077928198844684	0.2	CM_A	SC2_C
environment	CH7-bin.11	M_cell3_e	0.0009927999954163884	0.0019681394449331084	0.08	CM_P	SC2_C
CH8-bin.5	CH8-bin.17	M_gal_e	0.0009843037507793733	0.0054636372308538815	0.03	CM_A	SC2_C
CH7-bin.16	environment	M_co2_e	0.0009522179737104335	0.02163664603575213	0.73	CM_P	SC2_C
CH7-bin.11	CH7-bin.8	M_glc__D_e	0.0009490795899765016	0.005268116248397226	0.19	CM_P	SC2_C
CH7-bin.8	environment	M_btd_RR_e	0.000946986616629938	0.01050799280774804	0.02	CM_P	SC2_C
CH7-bin.20	CH7-bin.4	M_glc__D_e	0.0009261516959418825	0.005140848933431263	0.02	CM_P	SC2_C
CH7-bin.2	CH7-bin.4	M_glc__D_e	0.0009227689444879702	0.005122072080481463	0.01	CM_P	SC2_C
CH1-bin.6	environment	M_acald_e	0.0009171272354956948	0.02081900726170866	0.13	M_P	SC2_C
environment	CH8-bin.5	M_cell4_e	0.0008964811170660901	0.0013449045826223714	0.11	CM_A	SC2_C
CH1-bin.9	CH1-bin.3	M_acald_e	0.0008897904085907303	0.020198454762753684	0.06	M_P	SC2_C
CH7-bin.2	CH7-bin.8	M_glc__D_e	0.0008894775515049574	0.004937279434893195	0.05	CM_P	SC2_C
CH8-bin.17	CH8-bin.29	M_glyc3p_e	0.0008877028054789484	0.005220012545625413	0.01	CM_A	SC2_C
CH8-bin.7	CH8-bin.2	M_acald_e	0.0008870381551144575	0.020135977951586233	0.41	CM_A	SC2_C
CH7-bin.11	CH7-bin.12	M_glc__D_e	0.0008857483333890625	0.0049165794274779575	0.01	CM_P	SC2_C
CH7-bin.2	CH7-bin.12	M_glc__D_e	0.0008827297825267355	0.00489982416584091	0.01	CM_P	SC2_C
CH8-bin.9	CH8-bin.21	M_glyc3p_e	0.0008816360610546058	0.005184337901126476	0.01	CM_A	SC2_C
CH7-bin.20	CH7-bin.1	M_glc__D_e	0.0008778703855621982	0.004872850803041142	0.01	CM_P	SC2_C
