donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH15-bin.6	CH15-bin.16	M_h2s_e	2.6235304084010356e-07	7.697971903244748e-06	0.5	CD_P	SC1_C
CH15-bin.1	CH15-bin.17	M_h2s_e	2.584572791566583e-07	7.583662330598412e-06	0.2	CD_P	SC1_C
CH15-bin.16	CH15-bin.8	M_h2s_e	2.5249185630663934e-07	7.408624689169249e-06	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.16	M_h2s_e	2.522190715229632e-07	7.40062062871069e-06	0.5	CD_P	SC1_C
CH15-bin.13	CH15-bin.16	M_h2s_e	2.2772934571225857e-07	6.682042255823179e-06	0.5	CD_P	SC1_C
CH15-bin.10	CH15-bin.0	M_h2s_e	2.1935966314096674e-07	6.436458743367725e-06	0.1	CD_P	SC1_C
CH15-bin.1	CH15-bin.2	M_acald_e	2.1817420753870572e-07	4.952606612550184e-06	0.1	CD_P	SC1_C
environment	CH15-bin.7	M_nac_e	2.169100001191745e-07	1.7764757633143506e-06	1.0	CD_P	SC1_C
CH15-bin.7	CH15-bin.8	M_h2s_e	2.168485522169463e-07	6.362777640693479e-06	0.2	CD_P	SC1_C
CH15-bin.22	CH15-bin.15	M_cit_e	2.0079723803030508e-07	1.0618602271835995e-06	0.7	CD_P	SC1_C
CH15-bin.5	CH15-bin.23	M_h2s_e	1.9743021463819983e-07	5.79300411487406e-06	0.3	CD_P	SC1_C
CH15-bin.0	CH15-bin.10	M_h2s_e	1.9714081025477767e-07	5.784512401550952e-06	0.6	CD_P	SC1_C
CH15-bin.0	CH15-bin.8	M_h2s_e	1.9094646209280813e-07	5.602757625783672e-06	0.2	CD_P	SC1_C
CH15-bin.17	CH15-bin.16	M_h2s_e	1.869354283094902e-07	5.485065735237737e-06	0.4	CD_P	SC1_C
environment	CH15-bin.8	M_nac_e	1.5717931634604384e-07	1.2872861824242974e-06	1.0	CD_P	SC1_C
CH15-bin.23	CH15-bin.1	M_ura_e	1.525916886601104e-07	1.3613731584338395e-06	0.2	CD_P	SC1_C
CH15-bin.8	CH15-bin.16	M_h2s_e	1.419555868629821e-07	4.16526568809952e-06	0.4	CD_P	SC1_C
CH15-bin.13	CH15-bin.10	M_h2s_e	1.2673382115303147e-07	3.718628117680088e-06	0.6	CD_P	SC1_C
CH15-bin.2	CH15-bin.8	M_h2s_e	1.205126385436735e-07	3.536085964639138e-06	0.2	CD_P	SC1_C
CH15-bin.7	CH15-bin.15	M_h2s_e	1.1500329728904652e-07	3.3744306849911545e-06	0.1	CD_P	SC1_C
CH15-bin.15	CH15-bin.23	M_h2s_e	1.1285943702048338e-07	3.3115254636183244e-06	0.3	CD_P	SC1_C
CH15-bin.17	CH15-bin.8	M_h2s_e	1.0867874445108026e-07	3.188855439164582e-06	0.1	CD_P	SC1_C
CH15-bin.2	CH15-bin.16	M_h2s_e	1.0842970575691956e-07	3.1815481372772813e-06	0.4	CD_P	SC1_C
CH15-bin.22	CH15-bin.10	M_h2s_e	1.0683461155468387e-07	3.134744828603903e-06	0.6	CD_P	SC1_C
CH15-bin.8	CH15-bin.10	M_h2s_e	1.0595859071464883e-07	3.109040595134177e-06	0.4	CD_P	SC1_C
CH15-bin.13	CH15-bin.15	M_h2s_e	1.0419013230014197e-07	3.0571504278110256e-06	0.1	CD_P	SC1_C
CH15-bin.16	CH15-bin.5	M_acald_e	1.0344303401678476e-07	2.3481815750511837e-06	0.2	CD_P	SC1_C
CH15-bin.0	CH15-bin.15	M_h2s_e	9.631217459915495e-08	2.825995123329117e-06	0.1	CD_P	SC1_C
CH15-bin.7	CH15-bin.17	M_h2s_e	9.467338281064919e-08	2.7779096385838714e-06	0.2	CD_P	SC1_C
CH15-bin.5	CH15-bin.17	M_h2s_e	9.231894143940183e-08	2.7088255392890375e-06	0.2	CD_P	SC1_C
CH15-bin.12	CH15-bin.2	M_co2_e	9.223184078234471e-08	2.095725713365176e-06	0.3	CD_P	SC1_C
CH15-bin.13	CH15-bin.8	M_h2s_e	9.096348400004807e-08	2.669053660713601e-06	0.2	CD_P	SC1_C
CH15-bin.7	CH15-bin.10	M_h2s_e	8.965259928939269e-08	2.6305896366691128e-06	0.6	CD_P	SC1_C
CH15-bin.15	CH15-bin.2	M_co2_e	8.643302492322889e-08	1.9639628926306565e-06	0.3	CD_P	SC1_C
CH15-bin.17	CH15-bin.15	M_h2s_e	8.57914161981481e-08	2.5172946702585652e-06	0.1	CD_P	SC1_C
CH15-bin.2	CH15-bin.17	M_h2s_e	8.522250734633205e-08	2.5006017272579303e-06	0.2	CD_P	SC1_C
CH15-bin.6	CH15-bin.10	M_h2s_e	8.352482538633206e-08	2.450788285085211e-06	0.6	CD_P	SC1_C
CH15-bin.5	CH15-bin.8	M_h2s_e	7.732981265173534e-08	2.2690140094051597e-06	0.2	CD_P	SC1_C
environment	CH15-bin.0	M_gcald_e	7.715638682454736e-08	1.2848305433733437e-06	0.1	CD_P	SC1_C
CH15-bin.22	CH15-bin.15	M_h2s_e	7.47791432081396e-08	2.1941721792956624e-06	0.1	CD_P	SC1_C
CH15-bin.5	CH15-bin.16	M_h2s_e	7.34231806323871e-08	2.1543854789907254e-06	0.5	CD_P	SC1_C
CH15-bin.23	CH15-bin.16	M_h2s_e	7.079048110756488e-08	2.0771367194304387e-06	0.3	CD_P	SC1_C
CH15-bin.10	CH15-bin.23	M_h2s_e	7.035383231499629e-08	2.064324555614783e-06	0.1	CD_P	SC1_C
CH15-bin.16	CH15-bin.17	M_h2s_e	6.59056711227786e-08	1.9338064576764223e-06	0.2	CD_P	SC1_C
CH15-bin.8	CH15-bin.15	M_h2s_e	5.856817333038142e-08	1.7185093463293535e-06	0.1	CD_P	SC1_C
CH15-bin.17	CH15-bin.10	M_h2s_e	5.525346621449663e-08	1.621249096690707e-06	0.3	CD_P	SC1_C
CH15-bin.16	CH15-bin.10	M_h2s_e	4.971457866248265e-08	1.4587268685735853e-06	0.3	CD_P	SC1_C
CH15-bin.15	CH15-bin.17	M_h2s_e	4.883559118191827e-08	1.432935587835916e-06	0.2	CD_P	SC1_C
CH15-bin.15	CH15-bin.16	M_h2s_e	4.461653168266803e-08	1.309139799613508e-06	0.4	CD_P	SC1_C
CH15-bin.15	CH15-bin.8	M_h2s_e	4.414394404672813e-08	1.2952731170256606e-06	0.2	CD_P	SC1_C
CH15-bin.5	CH15-bin.10	M_h2s_e	4.206299844256272e-08	1.2342139398888152e-06	0.6	CD_P	SC1_C
CH15-bin.2	CH15-bin.10	M_h2s_e	3.8972367731111937e-08	1.1435285477779846e-06	0.5	CD_P	SC1_C
CH15-bin.22	environment	M_thym_e	3.2103951560655014e-08	2.545647641732303e-07	0.9	CD_P	SC1_C
CH15-bin.23	CH15-bin.10	M_h2s_e	3.0798837263497955e-08	9.037005370618639e-07	0.4	CD_P	SC1_C
CH15-bin.22	environment	M_cit_e	2.9937508714597766e-08	1.5831617066463828e-07	0.5	CD_P	SC1_C
CH15-bin.10	CH15-bin.17	M_h2s_e	2.531834259756336e-08	7.428916750065539e-07	0.1	CD_P	SC1_C
CH15-bin.2	CH15-bin.15	M_h2s_e	2.2313446633933655e-08	6.547219148005228e-07	0.1	CD_P	SC1_C
CH15-bin.23	CH15-bin.17	M_h2s_e	2.169405175429264e-08	6.365476090435859e-07	0.2	CD_P	SC1_C
